year_th,name_n,province_n_th,product_amt,product_ratio,harvested_area,product_per_harvested_area,
2561,หอมแดง,ตาก,1865,0.0112,887,2102.59,
2561,หอมแดง,แพร่,41,2.0E-4,51,803.92,
2560,หอมแดง,อุบลราชธานี,954,0.0074,318,3000,
2560,หอมแดง,สุโขทัย,97,8.0E-4,44,2204.55,
2560,หอมแดง,แพร่,4,0,5,800,
2560,หอมแดง,ตาก,1990,0.0154,970,2051.55,
2559,หอมแดง,สุโขทัย,86,0.001,39,2205.13,
2559,หอมแดง,แพร่,4,0,5,800,
2559,หอมแดง,ตาก,2458,0.0279,1135,2165.64,
2559,หอมแดง,อุบลราชธานี,488,0.0055,294,1659.86,
2558,หอมแดง,แพร่,11,1.0E-4,15,733.33,
2558,หอมแดง,สุโขทัย,44,3.0E-4,20,2200,
2558,หอมแดง,อุบลราชธานี,500,0.0039,301,1661.13,
2558,หอมแดง,ตาก,2000,0.0154,1223,1635.32,
2557,หอมแดง,สุโขทัย,65,5.0E-4,30,2166.67,
2557,หอมแดง,อุบลราชธานี,536,0.0042,281,1907.47,
2561,มะพร้าว,สระบุรี,238,3.0E-4,235,1012.77,
2561,มะพร้าว,อุบลราชธานี,47,1.0E-4,70,671.43,
2561,มะพร้าว,สุพรรณบุรี,37,0,43,860.47,
2561,มะพร้าว,อุดรธานี,46,1.0E-4,74,621.62,
2561,มะพร้าว,สมุทรสงคราม,35181,0.0411,31581,1113.99,
2561,มะพร้าว,พิษณุโลก,293,3.0E-4,321,912.77,
2561,มะพร้าว,นครราชสีมา,207,2.0E-4,247,838.06,
2561,มะพร้าว,ตรัง,5107,0.006,4916,1038.85,
2561,มันฝรั่ง,ตาก,40552,0.3301,13566,2989.24,
2561,มะพร้าว,ตาก,832,0.001,977,851.59,
2561,มันฝรั่ง,ตาก,40552,0.3751,13566,2989.24,
2561,มะพร้าว,นครปฐม,1710,0.002,2364,723.35,
2561,มะพร้าว,นราธิวาส,20374,0.0238,29186,698.07,
2561,มะพร้าว,ขอนแก่น,52,1.0E-4,108,481.48,
2561,มะพร้าว,ราชบุรี,7220,0.0084,7444,969.91,
2560,มันฝรั่ง,ตาก,30887,0.2874,12690,2433.96,
2560,มันฝรั่ง,ตาก,30887,0.331,12690,2433.96,
2559,มันฝรั่ง,เลย,1155,0.0108,353,3271.95,
2559,มันฝรั่ง,เลย,1248,0.0103,401,3112.22,
2559,มันฝรั่ง,ตาก,37471,0.3495,12704,2949.54,
2559,มันฝรั่ง,ตาก,37471,0.3097,12704,2949.54,
2558,มันฝรั่ง,หนองคาย,548,0.0022,234,2341.88,
2558,มันฝรั่ง,หนองคาย,274,0.0024,117,2341.88,
2558,มันฝรั่ง,เลย,3192,0.0127,1166,2737.56,
2558,มันฝรั่ง,เลย,937,0.0081,363,2581.27,
2558,มันฝรั่ง,ตาก,44818,0.3892,18470,2426.53,
2558,มันฝรั่ง,ตาก,89636,0.3567,36940,2426.53,
2557,มะพร้าว,นราธิวาส,33143,0.0331,50540,655.78,
2557,มะพร้าว,ราชบุรี,8145,0.0081,9163,888.9,
2557,มะพร้าว,สุพรรณบุรี,513,5.0E-4,548,936.13,
2557,มะพร้าว,พิษณุโลก,1371,0.0014,1463,937.12,
2557,มะพร้าว,นครราชสีมา,458,5.0E-4,590,776.27,
2557,มะพร้าว,ตรัง,6231,0.0062,7043,884.71,
2557,มะพร้าว,อุดรธานี,106,1.0E-4,169,627.22,
2557,มันฝรั่ง,ตาก,40896,0.4601,15639,2615,
2557,มะพร้าว,หนองคาย,101,1.0E-4,122,827.87,
2557,มันฝรั่ง,ตาก,41953,0.4207,16046,2614.55,
2557,มะพร้าว,เลย,84,1.0E-4,136,617.65,
2557,มันฝรั่ง,เลย,721,0.0072,232,3107.76,
2557,มะพร้าว,สมุทรสงคราม,31187,0.0312,46725,667.46,
2557,มะพร้าว,นครปฐม,2264,0.0023,3117,726.34,
2557,มะพร้าว,อุบลราชธานี,457,5.0E-4,634,720.82,
2557,มะพร้าว,ตาก,3017,0.003,3558,847.95,
2557,มะพร้าว,สระบุรี,1450,0.0014,1257,1153.54,
2557,มะพร้าว,ขอนแก่น,190,2.0E-4,382,497.38,
